NORAD_ID,Name,Distance_km,XRay_Jm2,Neutron_nm2,Gamma_radsSi,Effects_List,Prompt_Status,Corrected_Argus_krad,Inclination_deg,Mean_Alt_km,Constellation
44714,STARLINK-1008,9654.1651001809,0.0,0.0,0.0,['NOMINAL'],Nominal,369316.35011783906,53.1578,473.39441811759457,STARLINK (LEO)
44718,STARLINK-1012,4895.647012834678,0.0,0.0,0.0,['NOMINAL'],Nominal,369728.9631492226,53.1606,470.55293144012893,STARLINK (LEO)
44723,STARLINK-1017,12911.855248544694,0.0,0.0,0.0,['NOMINAL'],Nominal,371781.19347717735,53.0507,492.0297331342229,STARLINK (LEO)
44724,STARLINK-1019,12731.775231781481,0.0,0.0,0.0,['NOMINAL'],Nominal,339524.95870829106,53.0408,233.76475332286697,STARLINK (LEO)
44725,STARLINK-1020,7352.612392987531,0.0,0.0,0.0,['NOMINAL'],Nominal,373679.2612198655,53.1601,473.5923756508382,STARLINK (LEO)
44736,STARLINK-1031,5816.625848203477,0.0,0.0,0.0,['NOMINAL'],Nominal,309307.1490427564,53.0365,-21.07281732924829,STARLINK (LEO)
44741,STARLINK-1036,6422.846356950337,0.0,0.0,0.0,['NOMINAL'],Nominal,366886.0976211422,53.0479,367.6559784401173,STARLINK (LEO)
44744,STARLINK-1039,11246.089289469699,0.0,0.0,0.0,['NOMINAL'],Nominal,372600.6954575516,53.0547,495.3976143685082,STARLINK (LEO)
44747,STARLINK-1042,12224.866733801886,0.0,0.0,0.0,['NOMINAL'],Nominal,369533.93055270985,53.0454,413.2264117531766,STARLINK (LEO)
44748,STARLINK-1043,7400.514324179976,0.0,0.0,0.0,['NOMINAL'],Nominal,367626.50360762264,53.0506,400.3125771548766,STARLINK (LEO)
44751,STARLINK-1046,11599.731781388806,0.0,0.0,0.0,['NOMINAL'],Nominal,369918.06984882883,53.0519,423.13359186734345,STARLINK (LEO)
44752,STARLINK-1047,13505.462553282285,0.0,0.0,0.0,['NOMINAL'],Nominal,368779.06568310334,53.0692,470.43819262056303,STARLINK (LEO)
44753,STARLINK-1048,3718.5977917930627,23.286137500912673,16.199052174547944,2.5311019022731166e-09,"['X-RAY:SGEMP_FATAL', 'X-RAY:IONIZ_UPSET']",Fatal/Destroyed,369297.2018781544,53.0509,390.4757528049698,STARLINK (LEO)
44758,STARLINK-1053,8647.428181568772,0.0,0.0,0.0,['NOMINAL'],Nominal,151206.44984494828,53.0254,-2892.242044622069,STARLINK (LEO)
44768,STARLINK-1063,11102.255913134883,0.0,0.0,0.0,['NOMINAL'],Nominal,370962.37491281214,53.1581,492.584488685911,STARLINK (LEO)
44771,STARLINK-1067,11079.712790140671,0.0,0.0,0.0,['NOMINAL'],Nominal,367622.5501107326,53.05,377.19797085943804,STARLINK (LEO)
44772,STARLINK-1068,8099.838552878618,0.0,0.0,0.0,['NOMINAL'],Nominal,365296.3940053727,53.045500000000004,360.5404073688204,STARLINK (LEO)
44925,STARLINK-1112,,,,,['NOMINAL'],Nominal,,53.020500000000006,,STARLINK (LEO)
44927,STARLINK-1114,10783.7452054184,0.0,0.0,0.0,['NOMINAL'],Nominal,370005.24646871607,53.0486,398.4929772218476,STARLINK (LEO)
44930,STARLINK-1123,7151.466412672646,0.0,0.0,0.0,['NOMINAL'],Nominal,370759.3717518132,53.1481,467.4885117361216,STARLINK (LEO)
44941,STARLINK-1094,10978.507441756323,0.0,0.0,0.0,['NOMINAL'],Nominal,372490.3135376546,53.15870000000001,478.5293285926661,STARLINK (LEO)
44949,STARLINK-1122,4695.367319844813,0.0,10.16035477030547,1.5875554328602296e-09,['NOMINAL'],Nominal,372582.14658085874,53.1582,481.03148110684316,STARLINK (LEO)
44961,STARLINK-1080,12092.166172632906,0.0,0.0,0.0,['NOMINAL'],Nominal,370931.04130212456,53.051,408.15772174286815,STARLINK (LEO)
44968,STARLINK-1090,13188.9941815273,0.0,0.0,0.0,['NOMINAL'],Nominal,373117.9835809608,53.1531,479.54804940490186,STARLINK (LEO)
